Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
Syrax,5,8,100,Attacker,Beginner
Deadpool,3,9,84,Attacker,Beginner
Robert,8,5,148,Defender,Expert
Robert,9,3,145,Defender,Expert
Robert,8,5,138,Defender,Expert
Robert,10,3,121,Defender,Expert
Robert,8,5,120,Defender,Expert
Robert,10,3,112,Defender,Expert
Robert,11,2,86,Defender,Expert
Robert,9,4,82,Defender,Expert
Robert,4,9,238,Attacker,Beginner
Robert,3,10,190,Attacker,Beginner
Robert,5,8,164,Attacker,Beginner
u17025886,7,6,144,Defender,Expert
u17025886,9,4,115,Defender,Expert
u17025886,10,3,110,Defender,Expert
u17025886,8,5,103,Defender,Expert
u17025886,10,3,91,Defender,Expert
u17025886,7,6,88,Defender,Expert
u17025886,8,5,86,Defender,Expert
u17025886,10,3,69,Defender,Expert
u17025886,4,9,213,Attacker,Beginner
u17025886,5,8,212,Attacker,Beginner
u19009209,11,2,126,Defender,Expert
u19009209,8,5,126,Defender,Expert
u19009209,9,4,100,Defender,Expert
u19009209,10,3,99,Defender,Expert
u19009209,10,3,97,Defender,Expert
u19009209,10,2,79,Defender,Expert
u19009209,8,5,77,Defender,Expert
u19009209,9,4,75,Defender,Expert
u19009209,7,6,71,Defender,Expert
u19009209,6,7,727,Attacker,Beginner
u19009209,5,8,111,Attacker,Beginner
Chloe,8,5,157,Defender,Expert
Chloe,11,2,148,Defender,Expert
Chloe,9,4,198,Defender,Intermediate
Chloe,8,5,193,Defender,Intermediate
Chloe,10,3,185,Defender,Intermediate
Chloe,10,3,178,Defender,Intermediate
Chloe,10,3,173,Defender,Intermediate
Chloe,9,4,173,Defender,Intermediate
Chloe,10,3,162,Defender,Intermediate
Chloe,7,6,211,Defender,Beginner
Chloe,6,7,154,Attacker,Beginner
Ahmed,9,4,99,Defender,Expert
Ahmed,5,8,142,Attacker,Beginner
Ahmed,4,9,97,Attacker,Beginner
Ahmed,3,10,86,Attacker,Beginner
Ahmed,4,9,81,Attacker,Beginner
Ahmed,4,9,80,Attacker,Beginner
Ahmed,6,7,80,Attacker,Beginner
Ahmed,4,9,79,Attacker,Beginner
Ahmed,4,9,78,Attacker,Beginner
Ahmed,5,8,78,Attacker,Beginner
Ahmed,4,9,73,Attacker,Beginner
u20442409,7,5,158,Defender,Expert
u20442409,10,3,155,Defender,Expert
u20442409,8,5,146,Defender,Expert
u20442409,7,6,135,Defender,Expert
u20442409,8,5,133,Defender,Expert
u20442409,7,6,130,Defender,Expert
u20442409,7,6,192,Defender,Intermediate
u20442409,5,8,350,Attacker,Beginner
u20442409,6,7,148,Attacker,Beginner
u20442409,6,7,107,Attacker,Beginner
u20442409,4,9,102,Attacker,Beginner
UnFaizdd,7,6,138,Defender,Expert
UnFaizdd,7,6,135,Defender,Expert
UnFaizdd,7,6,134,Defender,Expert
UnFaizdd,9,4,132,Defender,Expert
UnFaizdd,7,6,118,Defender,Expert
UnFaizdd,7,6,118,Defender,Expert
UnFaizdd,9,4,112,Defender,Expert
UnFaizdd,8,5,100,Defender,Expert
UnFaizdd,10,3,93,Defender,Expert
UnFaizdd,9,4,179,Defender,Intermediate
UnFaizdd,4,9,135,Attacker,Beginner
u20537183,7,5,123,Defender,Expert
u20537183,7,6,120,Defender,Expert
u20537183,7,5,109,Defender,Expert
u20537183,7,6,104,Defender,Expert
